Tray ID,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12
S1,EMPTY,0050_1F13,0052_1F14,0050_2F13,0052_2F14,0050_3F13,0052_3F14,0050_4F13,0052_4F14,0100_1F15,0102_1F25,0100_2F15
S2,0102_2F25,EMPTY,0100_3F15,0102_3F25,0100_4F15,0102_4F25,0140_1F23,0142_1F33,0140_2F23,0142_2F33,0140_3F23,0142_3F33
S3,0140_4F23,0142_4F33,EMPTY,1000_1F34,1002_1F35,1000_2F34,1002_2F35,1000_3F34,1002_3F35,1000_4F34,1002_4F35,0050_1R13
S4,0052_1R14,0050_2R13,0052_2R14,EMPTY,0050_3R13,0052_3R14,0050_4R13,0052_4R14,0100_1R15,0102_1R25,0100_2R15,0102_2R25
S5,0100_3R15,0102_3R25,0100_4R15,0102_4R25,EMPTY,0140_1R23,0142_1R33,0140_2R23,0142_2R33,0140_3R23,0142_3R33,0140_4R23
S6,0142_4R33,1000_1R34,1002_1R35,1000_2R34,1002_2R35,EMPTY,1000_3R34,1002_3R35,1000_4R34,1002_4R35,0050_FPMT,0050_RPMT
S7,0050_1F11,0052_1F12,0050_2F11,0052_2F12,0050_3F11,0052_3F12,EMPTY,0050_4F11,0052_4F12,0100_1F22,0102_1F21,0100_2F22
S8,0102_2F21,0100_3F22,0102_3F21,0100_4F22,0102_4F21,0140_1F31,0142_1F26,EMPTY,0140_2F31,0142_2F26,0140_3F31,0142_3F26
S9,0140_4F31,0142_4F26,1000_1F36,1002_1F32,1000_2F36,1002_2F32,1000_3F36,1002_3F32,EMPTY,1000_4F36,1002_4F32,0050_1R11
S10,0052_1R12,0050_2R11,0052_2R12,0050_3R11,0052_3R12,0050_4R11,0052_4R12,0100_1R22,0102_1R21,EMPTY,0100_2R22,0102_2R21
S11,0100_3R22,0102_3R21,0100_4R22,0102_4R21,0140_1R31,0142_1R26,0140_2R31,0142_2R26,0140_3R31,0142_3R26,EMPTY,0140_4R31
S12,0142_4R26,1000_1R36,1002_1R32,1000_2R36,1002_2R32,1000_3R36,1002_3R32,1000_4R36,1002_4R32,0050_1F16,0052_1F17,EMPTY
S15,EMPTY,0050_4R16,0052_4R17,0100_1R27,EMPTY,0100_2R27,0100_3R27,0100_4R27,1000_1R37,1000_2R37,1000_3R37,1000_4R37
S14,EMPTY,1000_1F37,1000_2F37,EMPTY,1000_3F37,1000_4F37,0050_1R16,0052_1R17,0050_2R16,0052_2R17,0050_3R16,0052_3R17
S13,EMPTY,0050_2F16,EMPTY,0052_2F17,0050_3F16,0052_3F17,0050_4F16,0052_4F17,0100_1F27,0100_2F27,0100_3F27,0100_4F27
R1,0050_REF1,0052_REF1,0100_REF1,0102_REF1,0200_REF1,0202_REF1,1000_REF1,1002_REF1,0050_REF2,0052_REF2,0100_REF2,0102_REF2
