,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Measurement Number,SampleID,Notes
1,1000_REF1,"Started ~0 C, warming"
2,1000_REF1,"Started ~0 C, warming"
3,1000_REF1,"Started ~0 C, warming"
4,1000_REF1,"Started ~0 C, warming"
5,1000_REF2,Room Temperature
6,1000_REF2,Room Temperature
7,1002_REF1,"Started ~0 C, warming"
8,1002_REF1,"Started ~0 C, warming"
9,1002_REF1,"Started ~0 C, warming"
10,1002_REF1,"Started ~0 C, warming"
11,1002_REF2,Room Temperature
12,1002_REF2,Room Temperature
13,1000_REF1,"Started ~50 C, cooling"
14,1000_REF1,"Started ~50 C, cooling"
15,1000_REF1,"Started ~50 C, cooling"
16,1000_REF1,"Started ~50 C, cooling"
17,1000_REF2,Room Temperature
18,1000_REF2,Room Temperature
